Back,Voltar
Allowed Order States to Erase,Estados de Pedido Permitidos para Apagar
Customer Component Erasure Strategy,Estratégia de Exclusão de Componente do Cliente
Defines the components erasure strategy with the component/erase processor mapper for the customers.,Define a estratégia de exclusão de componentes com o mapeador de componente/exclusão para os clientes.
Guest Component Erasure Strategy,Estratégia de Exclusão de Componente do Visitante
Defines the components erasure strategy with the component/erase processor mapper for the guests.,Define a estratégia de exclusão de componentes com o mapeador de componente/exclusão para os visitantes.
Anonymization,Anonimização
Delete Customer if no Orders,Apagar Cliente se não Houver Pedidos
"We will delete the customer if he has no orders. It's only applicable if the component ""customer"" use the ""anonymize"" processor.","Apagaremos o cliente se ele não tiver pedidos. Isso só se aplica se o componente ""cliente"" usar o processador ""anonimizar""."
Customer Attributes Anonymizers,Anonimizadores de Atributos do Cliente
Customer Custom Attributes Anonymizers,Anonimizadores de Atributos Personalizados do Cliente
Customer Extensible Data Anonymizers,Anonimizadores de Dados Extensíveis do Cliente
Customer Address Attributes Anonymizers,Anonimizadores de Atributos de Endereço do Cliente
Customer Address Custom Attributes Anonymizers,Anonimizadores de Atributos Personalizados de Endereço do Cliente
Customer Address Extensible Data Anonymizers,Anonimizadores de Dados Extensíveis de Endereço do Cliente
Quote Attributes Anonymizers,Anonimizadores de Atributos do Orçamento
Quote Custom Attributes Anonymizers,Anonimizadores de Atributos Personalizados do Orçamento
Quote Extensible Data Anonymizers,Anonimizadores de Dados Extensíveis do Orçamento
Quote Address Attributes Anonymizers,Anonimizadores de Atributos de Endereço do Orçamento
Quote Address Custom Attributes Anonymizers,Anonimizadores de Atributos Personalizados de Endereço do Orçamento
Quote Address Extensible Data Anonymizers,Anonimizadores de Dados Extensíveis de Endereço do Orçamento
Order Attributes Anonymizers,Anonimizadores de Atributos do Pedido
Order Custom Attributes Anonymizers,Anonimizadores de Atributos Personalizados do Pedido
Order Extensible Data Anonymizers,Anonimizadores de Dados Extensíveis do Pedido
Order Address Attributes Anonymizers,Anonimizadores de Atributos de Endereço do Pedido
Order Address Custom Attributes Anonymizers,Anonimizadores de Atributos Personalizados de Endereço do Pedido
Order Address Extensible Data Anonymizers,Anonimizadores de Dados Extensíveis de Endereço do Pedido
Subscriber Attributes Anonymizers,Anonimizadores de Atributos do Assinante
Data Export,Exportar Dados
Export Settings,Configurações de Exportação
Export,Exportar
It will enable the export action to the storefront.,Habilita a ação de exportação na loja.
Renderers,Renderizadores
Select formats of the export. Notice: At least one human and one machine readable format should be selected.,Selecione os formatos da exportação. Atenção: pelo menos um formato legível para humanos e um formato legível para máquinas devem ser selecionados.
Export File Name,Nome do Arquivo de Exportação
We will use this value as file name of the document export.,Usaremos este valor como nome de arquivo da exportação do documento.
Export Scheduler,Agendador de Exportação
Export Life Time,Tempo de Vida da Exportação
Export life time in minute before it is removed from the server.,Tempo de vida da exportação em minutos antes de ser removida do servidor.
Erase Expired Export Schedule,Apagar Agendamento de Exportação Expirado
Customer,Cliente
Customer Attributes,Atributos do Cliente
This attributes list will be exported when processed.,Esta lista de atributos será exportada quando processada.
Customer Custom Attributes,Atributos Personalizados do Cliente
Comma-separated,Separados por Vírgulas
Customer Extensible Data,Dados Extensíveis do Cliente
Customer Address Attributes,Atributos de Endereço do Cliente
Customer Address Custom Attributes,Atributos Personalizados de Endereço do Cliente
Customer Address Extensible Data,Dados Extensíveis de Endereço do Cliente
Quote Attributes,Atributos do Orçamento
Quote Custom Attributes,Atributos Personalizados do Orçamento
Quote Extensible Data,Dados Extensíveis do Orçamento
Quote Address Attributes,Atributos de Endereço do Orçamento
Quote Address Custom Attributes,Atributos Personalizados de Endereço do Orçamento
Quote Address Extensible Data,Dados Extensíveis de Endereço do Orçamento
Order Attributes,Atributos do Pedido
Order Custom Attributes,Atributos Personalizados do Pedido
Order Extensible Data,Dados Extensíveis do Pedido
Order Address Attributes,Atributos de Endereço do Pedido
Order Address Custom Attributes,Atributos Personalizados de Endereço do Pedido
Order Address Extensible Data,Dados Extensíveis de Endereço do Pedido
Subscriber Attributes,Atributos do Assinante
Global,Global
General,Geral
Enabled,Habilitado
It will enable the module features in the admin and frontend ui.,Habilita as funcionalidades do módulo na interface admin e frontend.
Information page,Página de Informações
This page should store information about privacy and LGPD policy.,Esta página deve armazenar informações sobre privacidade e política de LGPD.
User Notification,Notificação do Usuário
Notification,Notificação
Pending Action,Ação Pendente
Email Sender,Remetente de E-mail
Pending Erasure Template,Modelo de Exclusão Pendente
"Email template chosen based on theme fallback when ""Default"" option is selected.","Modelo de e-mail escolhido com base na hierarquia de temas quando a opção ""Padrão"" é selecionada."
Pending Erasure Template for Guest,Modelo de Exclusão Pendente para Visitante
Send Email Copy To,Enviar Cópia de E-mail Para
Send Email Copy Method,Método de Envio de Cópia de E-mail
Succeeded Action,Ação Bem-sucedida
Succeeded Erasure Template,Modelo de Exclusão Bem-sucedido
Succeeded Erasure Template for Guest,Modelo de Exclusão Bem-sucedido para Visitante
Canceled Action,Ação Cancelada
Canceled Erasure Template,Modelo de Exclusão Cancelado
Canceled Erasure Template for Guest,Modelo de Exclusão Cancelado para Visitante
Pending Export Template,Modelo de Exportação Pendente
Pending Export Template for Guest,Modelo de Exportação Pendente para Visitante
Ready Action,Ação Pronta
Ready Export Template,Modelo de Exportação Pronto
Ready Export Template for Guest,Modelo de Exportação Pronto para Visitante
Are you sure you want to erase the selected customers?,Você tem certeza de que deseja apagar os clientes selecionados?
Erase items,Apagar itens
Erase (LGPD),Apagar (LGPD)
Are you sure you want to export the selected customers?,Você tem certeza de que deseja exportar os clientes selecionados?
Export items,Exportar itens
Export (LGPD),Exportar (LGPD)
New Action,Nova Ação
Type,Tipo
Action types are registered in the code.,Os tipos de ação são registrados no código.
Parameters,Parâmetros
Add Parameter,Adicionar Parâmetro
Name,Nome
Value,Valor
Edit,Editar
Are you sure you want to delete the action log?,Você tem certeza de que deseja apagar o registro de ação?
Delete items,Apagar itens
Delete,Apagar
ID,ID
Performed From,Realizado De
Performed By,Realizado Por
Performed At,Realizado Em
State,Estado
Message,Mensagem
Privacy Settings,Configurações de Privacidade
